[dotenv@17.2.3] injecting env (10) from .env -- tip: 🔐 prevent building .env in docker: https://dotenvx.com/prebuild
🔌 Frontend WebSocket server running on ws://localhost:5000
🚀 Marome Backend running on port 5000
📊 Correlation Matrix API: http://localhost:5000/api/correlation-matrix?period=30
🧪 EODHD Test: http://localhost:5000/api/test-eodhd-gold
💬 Marome Chat AI: http://localhost:5000/api/chat
📡 Initializing EODHD WebSockets...
📡 Connecting to EODHD WebSocket...
📡 Connecting to EODHD Forex WebSocket...
📡 Connecting to EODHD Crypto WebSocket...
✅ EODHD Forex WebSocket connected
💱 Subscribed to: 8 forex pairs + 3 metals
✅ EODHD WebSocket connected
📊 Subscribed to: 3 indices + 12 major US stocks
✅ Crypto WebSocket connected
₿ CRYPTO BNB-USD: 615.5166 (-3.21%)
₿ CRYPTO AVAX-USD: 8.7499 (-3.29%)
₿ CRYPTO SOL-USD: 83.6676 (-3.50%)
₿ CRYPTO XRP-USD: 1.3995 (-2.55%)
₿ CRYPTO DOGE-USD: 0.09237079 (-3.80%)
₿ CRYPTO BTC-USD: 68215.0912 (-2.72%)
₿ CRYPTO LTC-USD: 53.1864 (-2.23%)
₿ CRYPTO ADA-USD: 0.26244458 (-2.69%)
₿ CRYPTO ETH-USD: 2005.0412 (-4.68%)
₿ CRYPTO BNB-USD: 615.5278 (-3.21%)
₿ CRYPTO SOL-USD: 83.665 (-3.50%)
₿ CRYPTO BTC-USD: 68214.1332 (-2.72%)
₿ CRYPTO AVAX-USD: 8.7501 (-3.29%)
₿ CRYPTO XRP-USD: 1.3994 (-2.56%)
₿ CRYPTO DOGE-USD: 0.09236664 (-3.81%)
₿ CRYPTO ETH-USD: 2005.0756 (-4.68%)
₿ CRYPTO ADA-USD: 0.26245979 (-2.69%)
₿ CRYPTO SOL-USD: 83.6675 (-3.50%)
₿ CRYPTO XRP-USD: 1.3994 (-2.56%)
₿ CRYPTO DOGE-USD: 0.09236457 (-3.81%)
₿ CRYPTO BTC-USD: 68212.1292 (-2.72%)
💱 FOREX GBPZAR: 21.8162 (+0.21%)
🥇 COMMODITY XAUUSD: 5035.78 (+0.07%)
🥇 COMMODITY XPTUSD: 2103.43 (-0.19%)
💱 FOREX USDZAR: 15.9517 (+0.32%)
🥇 COMMODITY XAGUSD: 81.84 (+0.01%)
💱 FOREX GBPUSD: 1.3677 (-0.04%)
💱 FOREX AUDUSD: 0.7076 (-0.22%)
💱 FOREX EURUSD: 1.1913 (+0.08%)
💱 FOREX USDCHF: 0.7635 (-0.35%)
₿ CRYPTO LTC-USD: 53.1857 (-2.23%)
₿ CRYPTO BNB-USD: 615.5084 (-3.22%)
₿ CRYPTO ETH-USD: 2005.0391 (-4.68%)
₿ CRYPTO ADA-USD: 0.26246739 (-2.68%)
₿ CRYPTO SOL-USD: 83.665 (-3.50%)
₿ CRYPTO AVAX-USD: 8.7502 (-3.29%)
₿ CRYPTO BTC-USD: 68214.1645 (-2.72%)
₿ CRYPTO DOGE-USD: 0.09236354 (-3.81%)
₿ CRYPTO XRP-USD: 1.3994 (-2.56%)
₿ CRYPTO BNB-USD: 615.4987 (-3.22%)
₿ CRYPTO LTC-USD: 53.1854 (-2.23%)
₿ CRYPTO ETH-USD: 2005.0508 (-4.68%)
₿ CRYPTO SOL-USD: 83.6675 (-3.50%)
₿ CRYPTO ADA-USD: 0.2624837 (-2.68%)
₿ CRYPTO BTC-USD: 68213.6156 (-2.72%)
₿ CRYPTO AVAX-USD: 8.7502 (-3.29%)
₿ CRYPTO SOL-USD: 83.6621 (-3.51%)
₿ CRYPTO DOGE-USD: 0.09237177 (-3.80%)
₿ CRYPTO XRP-USD: 1.3993 (-2.56%)
₿ CRYPTO XRP-USD: 1.3994 (-2.56%)
₿ CRYPTO BNB-USD: 615.4634 (-3.22%)
₿ CRYPTO LTC-USD: 53.1864 (-2.23%)
₿ CRYPTO DOGE-USD: 0.09236755 (-3.80%)
₿ CRYPTO ETH-USD: 2004.8991 (-4.69%)
₿ CRYPTO ADA-USD: 0.26247935 (-2.68%)
₿ CRYPTO AVAX-USD: 8.7502 (-3.29%)
₿ CRYPTO BTC-USD: 68214.5703 (-2.72%)
₿ CRYPTO ETH-USD: 2004.9431 (-4.69%)
₿ CRYPTO ADA-USD: 0.26247301 (-2.68%)
₿ CRYPTO XRP-USD: 1.3994 (-2.56%)
₿ CRYPTO BNB-USD: 615.5012 (-3.22%)
₿ CRYPTO LTC-USD: 53.187 (-2.22%)
₿ CRYPTO SOL-USD: 83.6623 (-3.51%)
₿ CRYPTO AVAX-USD: 8.7496 (-3.30%)
₿ CRYPTO DOGE-USD: 0.09236503 (-3.81%)
₿ CRYPTO BTC-USD: 68213.9977 (-2.72%)
₿ CRYPTO BNB-USD: 615.5201 (-3.21%)
₿ CRYPTO LTC-USD: 53.186 (-2.23%)
₿ CRYPTO ETH-USD: 2004.9378 (-4.69%)
₿ CRYPTO SOL-USD: 83.6599 (-3.51%)
₿ CRYPTO AVAX-USD: 8.7499 (-3.29%)
₿ CRYPTO ADA-USD: 0.262474 (-2.68%)
₿ CRYPTO BTC-USD: 68213.7113 (-2.72%)
₿ CRYPTO DOGE-USD: 0.09237251 (-3.80%)
₿ CRYPTO BNB-USD: 615.5045 (-3.22%)
₿ CRYPTO XRP-USD: 1.3993 (-2.56%)
₿ CRYPTO LTC-USD: 53.1855 (-2.23%)
💱 FOREX EURZAR: 19.0027 (+0.50%)
💱 FOREX USDCHF: 0.7635 (-0.35%)
₿ CRYPTO SOL-USD: 83.6587 (-3.51%)
₿ CRYPTO ETH-USD: 2004.9351 (-4.69%)
₿ CRYPTO AVAX-USD: 8.7498 (-3.30%)
₿ CRYPTO BTC-USD: 68212.9307 (-2.72%)
₿ CRYPTO ADA-USD: 0.2624745 (-2.68%)
₿ CRYPTO DOGE-USD: 0.09237042 (-3.80%)
₿ CRYPTO BNB-USD: 615.5069 (-3.22%)
₿ CRYPTO XRP-USD: 1.3993 (-2.56%)
₿ CRYPTO SOL-USD: 83.6602 (-3.51%)
₿ CRYPTO LTC-USD: 53.1853 (-2.23%)
₿ CRYPTO ETH-USD: 2004.9338 (-4.69%)
₿ CRYPTO AVAX-USD: 8.75 (-3.29%)
₿ CRYPTO ADA-USD: 0.26247475 (-2.68%)
₿ CRYPTO BTC-USD: 68210.4905 (-2.72%)
₿ CRYPTO BNB-USD: 615.498 (-3.22%)
₿ CRYPTO XRP-USD: 1.3993 (-2.56%)
₿ CRYPTO DOGE-USD: 0.09236646 (-3.81%)
₿ CRYPTO ETH-USD: 2004.8457 (-4.69%)
₿ CRYPTO BTC-USD: 68210.0453 (-2.72%)
₿ CRYPTO AVAX-USD: 8.7501 (-3.29%)
₿ CRYPTO ADA-USD: 0.26248737 (-2.68%)
₿ CRYPTO BNB-USD: 615.463 (-3.22%)
₿ CRYPTO LTC-USD: 53.1839 (-2.23%)
₿ CRYPTO SOL-USD: 83.6588 (-3.51%)
₿ CRYPTO DOGE-USD: 0.09236323 (-3.81%)
₿ CRYPTO XRP-USD: 1.3993 (-2.56%)
₿ CRYPTO ETH-USD: 2004.7891 (-4.70%)
₿ CRYPTO ADA-USD: 0.26247094 (-2.68%)
₿ CRYPTO BTC-USD: 68207.7102 (-2.73%)
₿ CRYPTO BNB-USD: 615.4658 (-3.22%)
₿ CRYPTO AVAX-USD: 8.7496 (-3.30%)
₿ CRYPTO LTC-USD: 53.1832 (-2.23%)
₿ CRYPTO SOL-USD: 83.6582 (-3.51%)
₿ CRYPTO DOGE-USD: 0.09236037 (-3.81%)
₿ CRYPTO XRP-USD: 1.3992 (-2.57%)
₿ CRYPTO ETH-USD: 2004.9495 (-4.69%)
₿ CRYPTO BTC-USD: 68206.5427 (-2.73%)
₿ CRYPTO ADA-USD: 0.26246047 (-2.69%)
₿ CRYPTO AVAX-USD: 8.7493 (-3.30%)
₿ CRYPTO LTC-USD: 53.1841 (-2.23%)
₿ CRYPTO SOL-USD: 83.6578 (-3.51%)
₿ CRYPTO ETH-USD: 2004.8285 (-4.69%)
💱 FOREX USDJPY: 154.3842 (-1.12%)
💱 FOREX EURZAR: 19.0027 (+0.50%)
💱 FOREX GBPUSD: 1.3677 (-0.04%)
💱 FOREX EURUSD: 1.1913 (+0.08%)
🥇 COMMODITY XPTUSD: 2103.04 (-0.21%)
🥇 COMMODITY XAUUSD: 5035.31 (+0.06%)
💱 FOREX GBPZAR: 21.8163 (+0.21%)
₿ CRYPTO DOGE-USD: 0.09235893 (-3.81%)
₿ CRYPTO BNB-USD: 615.4469 (-3.22%)
₿ CRYPTO BTC-USD: 68205.9589 (-2.73%)
₿ CRYPTO ADA-USD: 0.26245524 (-2.69%)
₿ CRYPTO AVAX-USD: 8.7491 (-3.30%)
₿ CRYPTO ETH-USD: 2004.6793 (-4.70%)
₿ CRYPTO SOL-USD: 83.6539 (-3.52%)
₿ CRYPTO BTC-USD: 68204.6128 (-2.73%)
₿ CRYPTO XRP-USD: 1.3992 (-2.57%)
₿ CRYPTO XRP-USD: 1.3992 (-2.57%)
₿ CRYPTO DOGE-USD: 0.09235822 (-3.81%)
₿ CRYPTO BNB-USD: 615.468 (-3.22%)
₿ CRYPTO LTC-USD: 53.1833 (-2.23%)
₿ CRYPTO AVAX-USD: 8.7491 (-3.30%)
₿ CRYPTO SOL-USD: 83.6557 (-3.51%)
₿ CRYPTO BTC-USD: 68205.4955 (-2.73%)
₿ CRYPTO ETH-USD: 2004.6594 (-4.70%)
₿ CRYPTO LTC-USD: 53.1839 (-2.23%)
₿ CRYPTO BNB-USD: 615.4721 (-3.22%)
₿ CRYPTO XRP-USD: 1.3992 (-2.57%)
₿ CRYPTO DOGE-USD: 0.09235411 (-3.82%)
₿ CRYPTO AVAX-USD: 8.749 (-3.30%)
₿ CRYPTO SOL-USD: 83.6527 (-3.52%)
₿ CRYPTO ADA-USD: 0.26244022 (-2.69%)
₿ CRYPTO ETH-USD: 2004.6414 (-4.70%)
💱 FOREX AUDUSD: 0.7076 (-0.22%)
💱 FOREX USDZAR: 15.9515 (+0.32%)
₿ CRYPTO BNB-USD: 615.4501 (-3.22%)
₿ CRYPTO BTC-USD: 68205.4353 (-2.73%)
₿ CRYPTO LTC-USD: 53.187 (-2.22%)
₿ CRYPTO DOGE-USD: 0.09236705 (-3.81%)
₿ CRYPTO XRP-USD: 1.3993 (-2.56%)
₿ CRYPTO ADA-USD: 0.26242011 (-2.70%)
₿ CRYPTO SOL-USD: 83.6614 (-3.51%)
₿ CRYPTO AVAX-USD: 8.749 (-3.30%)
₿ CRYPTO ETH-USD: 2004.6619 (-4.70%)
₿ CRYPTO BTC-USD: 68205.4051 (-2.73%)
₿ CRYPTO LTC-USD: 53.1847 (-2.23%)
₿ CRYPTO DOGE-USD: 0.09236228 (-3.81%)
₿ CRYPTO SOL-USD: 83.6594 (-3.51%)
₿ CRYPTO AVAX-USD: 8.749 (-3.30%)
₿ CRYPTO ADA-USD: 0.26246005 (-2.69%)
💱 FOREX EURZAR: 19.0029 (+0.50%)
💱 FOREX AUDUSD: 0.7076 (-0.22%)
💱 FOREX EURUSD: 1.1913 (+0.08%)
💱 FOREX GBPUSD: 1.3677 (-0.04%)
🥇 COMMODITY XPTUSD: 2102.42 (-0.24%)
💱 FOREX GBPZAR: 21.8163 (+0.21%)
💱 FOREX GBPUSD: 1.3677 (-0.04%)
🥇 COMMODITY XAGUSD: 81.83 (-0.00%)
💱 FOREX EURUSD: 1.1913 (+0.08%)
💱 FOREX EURZAR: 19.0035 (+0.50%)
₿ CRYPTO BNB-USD: 615.4797 (-3.22%)
₿ CRYPTO AVAX-USD: 8.7492 (-3.30%)
₿ CRYPTO ETH-USD: 2004.4535 (-4.71%)
₿ CRYPTO BTC-USD: 68205.3901 (-2.73%)
₿ CRYPTO XRP-USD: 1.3992 (-2.57%)
₿ CRYPTO DOGE-USD: 0.09236364 (-3.81%)
₿ CRYPTO SOL-USD: 83.6647 (-3.50%)
₿ CRYPTO LTC-USD: 53.1811 (-2.24%)
₿ CRYPTO ADA-USD: 0.26244253 (-2.69%)
₿ CRYPTO BTC-USD: 68206.0367 (-2.73%)
₿ CRYPTO BNB-USD: 615.4843 (-3.22%)
₿ CRYPTO XRP-USD: 1.3992 (-2.57%)
₿ CRYPTO AVAX-USD: 8.7493 (-3.30%)
₿ CRYPTO ETH-USD: 2004.3505 (-4.72%)
₿ CRYPTO ADA-USD: 0.26245876 (-2.69%)
₿ CRYPTO DOGE-USD: 0.09236307 (-3.81%)
₿ CRYPTO BNB-USD: 615.4867 (-3.22%)
₿ CRYPTO LTC-USD: 53.1806 (-2.24%)
💱 FOREX USDJPY: 154.3879 (-1.12%)
💱 FOREX USDCHF: 0.7635 (-0.35%)
₿ CRYPTO XRP-USD: 1.3992 (-2.57%)
₿ CRYPTO SOL-USD: 83.6611 (-3.51%)
₿ CRYPTO ADA-USD: 0.26245438 (-2.69%)
₿ CRYPTO ETH-USD: 2004.3215 (-4.72%)
₿ CRYPTO AVAX-USD: 8.7499 (-3.29%)
₿ CRYPTO BTC-USD: 68205.6309 (-2.73%)
₿ CRYPTO BNB-USD: 615.4777 (-3.22%)
₿ CRYPTO LTC-USD: 53.1803 (-2.24%)
💱 FOREX GBPUSD: 1.3677 (-0.04%)
💱 FOREX EURUSD: 1.1913 (+0.08%)
💱 FOREX EURZAR: 19.0032 (+0.50%)
💱 FOREX USDCHF: 0.7635 (-0.35%)
₿ CRYPTO XRP-USD: 1.3992 (-2.57%)
₿ CRYPTO DOGE-USD: 0.09236278 (-3.81%)
₿ CRYPTO SOL-USD: 83.6593 (-3.51%)
₿ CRYPTO AVAX-USD: 8.75 (-3.29%)
₿ CRYPTO BTC-USD: 68205.4279 (-2.73%)
₿ CRYPTO ADA-USD: 0.26247719 (-2.68%)
₿ CRYPTO LTC-USD: 53.1801 (-2.24%)
₿ CRYPTO ETH-USD: 2004.2808 (-4.72%)
₿ CRYPTO XRP-USD: 1.3993 (-2.56%)
₿ CRYPTO SOL-USD: 83.6647 (-3.50%)
₿ CRYPTO DOGE-USD: 0.09236264 (-3.81%)
₿ CRYPTO BTC-USD: 68205.3265 (-2.73%)
₿ CRYPTO ETH-USD: 2004.2387 (-4.72%)
₿ CRYPTO BNB-USD: 615.6113 (-3.20%)
₿ CRYPTO ADA-USD: 0.26247609 (-2.68%)
₿ CRYPTO SOL-USD: 83.6573 (-3.51%)
₿ CRYPTO AVAX-USD: 8.7499 (-3.29%)
₿ CRYPTO BTC-USD: 68203.9133 (-2.73%)
₿ CRYPTO XRP-USD: 1.3993 (-2.56%)
₿ CRYPTO DOGE-USD: 0.09236257 (-3.81%)
₿ CRYPTO LTC-USD: 53.1801 (-2.24%)
₿ CRYPTO BNB-USD: 615.6294 (-3.20%)
🥇 COMMODITY XAUUSD: 5034.87 (+0.05%)
₿ CRYPTO ADA-USD: 0.26245631 (-2.69%)
₿ CRYPTO BTC-USD: 68205.3466 (-2.73%)
₿ CRYPTO LTC-USD: 53.182 (-2.23%)
₿ CRYPTO ETH-USD: 2004.2803 (-4.72%)
₿ CRYPTO SOL-USD: 83.6517 (-3.52%)
₿ CRYPTO AVAX-USD: 8.7503 (-3.29%)
₿ CRYPTO DOGE-USD: 0.09236004 (-3.81%)
₿ CRYPTO XRP-USD: 1.3992 (-2.57%)
₿ CRYPTO BNB-USD: 615.6121 (-3.20%)
₿ CRYPTO DOGE-USD: 0.09235335 (-3.82%)
₿ CRYPTO ADA-USD: 0.26243649 (-2.70%)
₿ CRYPTO AVAX-USD: 8.7499 (-3.29%)
₿ CRYPTO ETH-USD: 2004.2776 (-4.72%)
₿ CRYPTO SOL-USD: 83.6546 (-3.51%)
₿ CRYPTO BTC-USD: 68205.2858 (-2.73%)
₿ CRYPTO BNB-USD: 615.6785 (-3.19%)
₿ CRYPTO XRP-USD: 1.3992 (-2.57%)
₿ CRYPTO LTC-USD: 53.181 (-2.24%)
₿ CRYPTO ADA-USD: 0.26244324 (-2.69%)
💱 FOREX AUDUSD: 0.7076 (-0.23%)
💱 FOREX EURUSD: 1.1913 (+0.08%)
💱 FOREX GBPUSD: 1.3677 (-0.04%)
💱 FOREX EURZAR: 19.0031 (+0.50%)
💱 FOREX GBPZAR: 21.8164 (+0.21%)
₿ CRYPTO DOGE-USD: 0.09235543 (-3.82%)
₿ CRYPTO SOL-USD: 83.6623 (-3.51%)
💱 FOREX GBPZAR: 21.8164 (+0.21%)
💱 FOREX USDZAR: 15.9514 (+0.32%)
₿ CRYPTO BTC-USD: 68200.8931 (-2.74%)
₿ CRYPTO BNB-USD: 615.7118 (-3.18%)
₿ CRYPTO AVAX-USD: 8.7498 (-3.30%)
₿ CRYPTO LTC-USD: 53.1805 (-2.24%)
₿ CRYPTO ETH-USD: 2004.1951 (-4.72%)
₿ CRYPTO ADA-USD: 0.26245495 (-2.69%)
₿ CRYPTO XRP-USD: 1.3991 (-2.58%)
₿ CRYPTO SOL-USD: 83.6449 (-3.53%)
₿ CRYPTO DOGE-USD: 0.09235396 (-3.82%)
₿ CRYPTO BNB-USD: 615.6384 (-3.19%)
₿ CRYPTO LTC-USD: 53.1802 (-2.24%)
₿ CRYPTO AVAX-USD: 8.7492 (-3.30%)
₿ CRYPTO ETH-USD: 2004.0438 (-4.73%)
₿ CRYPTO SOL-USD: 83.6375 (-3.53%)
₿ CRYPTO XRP-USD: 1.3992 (-2.57%)
₿ CRYPTO DOGE-USD: 0.09235323 (-3.82%)
₿ CRYPTO BTC-USD: 68196.2218 (-2.74%)
₿ CRYPTO ETH-USD: 2003.9682 (-4.73%)
₿ CRYPTO ADA-USD: 0.26245248 (-2.69%)
₿ CRYPTO LTC-USD: 53.1785 (-2.24%)
₿ CRYPTO BNB-USD: 615.6267 (-3.20%)
₿ CRYPTO AVAX-USD: 8.7492 (-3.30%)
₿ CRYPTO SOL-USD: 83.635 (-3.54%)
₿ CRYPTO DOGE-USD: 0.09235287 (-3.82%)
₿ CRYPTO XRP-USD: 1.3991 (-2.58%)
₿ CRYPTO BTC-USD: 68191.2736 (-2.75%)
💱 FOREX EURZAR: 19.0035 (+0.50%)
💱 FOREX USDZAR: 15.9524 (+0.32%)
🥇 COMMODITY XPTUSD: 2102.34 (-0.24%)
💱 FOREX GBPUSD: 1.3677 (-0.04%)
🥇 COMMODITY XAGUSD: 81.83 (-0.00%)
💱 FOREX EURZAR: 19.0030 (+0.50%)
💱 FOREX USDJPY: 154.3922 (-1.11%)
💱 FOREX EURUSD: 1.1913 (+0.08%)
💱 FOREX GBPUSD: 1.3677 (-0.04%)
💱 FOREX USDCHF: 0.7635 (-0.35%)
₿ CRYPTO ETH-USD: 2003.9528 (-4.74%)
₿ CRYPTO ADA-USD: 0.26245124 (-2.69%)
₿ CRYPTO AVAX-USD: 8.7492 (-3.30%)
₿ CRYPTO SOL-USD: 83.6337 (-3.54%)
₿ CRYPTO BNB-USD: 615.6858 (-3.19%)
₿ CRYPTO LTC-USD: 53.1805 (-2.24%)
₿ CRYPTO BTC-USD: 68188.7994 (-2.76%)
₿ CRYPTO ETH-USD: 2003.9527 (-4.74%)
₿ CRYPTO DOGE-USD: 0.09235268 (-3.82%)
₿ CRYPTO XRP-USD: 1.3992 (-2.57%)
₿ CRYPTO ADA-USD: 0.26245062 (-2.69%)
₿ CRYPTO LTC-USD: 53.1819 (-2.23%)
₿ CRYPTO AVAX-USD: 8.7492 (-3.30%)
₿ CRYPTO SOL-USD: 83.6331 (-3.54%)
₿ CRYPTO BTC-USD: 68187.5623 (-2.76%)
₿ CRYPTO ETH-USD: 2003.9526 (-4.74%)
₿ CRYPTO XRP-USD: 1.3992 (-2.57%)
₿ CRYPTO DOGE-USD: 0.09235259 (-3.82%)
₿ CRYPTO SOL-USD: 83.6332 (-3.54%)
₿ CRYPTO ADA-USD: 0.26247531 (-2.68%)
₿ CRYPTO AVAX-USD: 8.7492 (-3.30%)
₿ CRYPTO BTC-USD: 68187.2312 (-2.76%)
₿ CRYPTO BNB-USD: 615.7154 (-3.18%)
₿ CRYPTO XRP-USD: 1.3991 (-2.58%)
₿ CRYPTO LTC-USD: 53.181 (-2.24%)
₿ CRYPTO ETH-USD: 2003.9213 (-4.74%)
₿ CRYPTO SOL-USD: 83.6324 (-3.54%)
₿ CRYPTO DOGE-USD: 0.09235255 (-3.82%)
₿ CRYPTO ADA-USD: 0.26248765 (-2.68%)
₿ CRYPTO AVAX-USD: 8.7492 (-3.30%)
₿ CRYPTO XRP-USD: 1.399 (-2.58%)
₿ CRYPTO BNB-USD: 615.6495 (-3.19%)
₿ CRYPTO BTC-USD: 68187.7764 (-2.76%)
₿ CRYPTO LTC-USD: 53.1805 (-2.24%)
₿ CRYPTO ETH-USD: 2003.9308 (-4.74%)
₿ CRYPTO DOGE-USD: 0.09234794 (-3.83%)
₿ CRYPTO ADA-USD: 0.2624579 (-2.69%)
🥇 COMMODITY XAUUSD: 5034.64 (+0.05%)
💱 FOREX GBPZAR: 21.8162 (+0.21%)
💱 FOREX GBPUSD: 1.3677 (-0.04%)
💱 FOREX USDCHF: 0.7635 (-0.35%)
💱 FOREX AUDUSD: 0.7076 (-0.23%)
💱 FOREX EURUSD: 1.1913 (+0.08%)
💱 FOREX USDZAR: 15.9513 (+0.32%)
₿ CRYPTO SOL-USD: 83.6291 (-3.54%)
₿ CRYPTO BNB-USD: 615.6973 (-3.19%)
₿ CRYPTO AVAX-USD: 8.7491 (-3.30%)
₿ CRYPTO ETH-USD: 2003.9587 (-4.74%)
₿ CRYPTO XRP-USD: 1.3991 (-2.58%)
₿ CRYPTO DOGE-USD: 0.09235022 (-3.82%)
₿ CRYPTO ADA-USD: 0.26245395 (-2.69%)
₿ CRYPTO BTC-USD: 68187.0507 (-2.76%)
₿ CRYPTO BNB-USD: 615.6724 (-3.19%)
₿ CRYPTO LTC-USD: 53.1802 (-2.24%)
₿ CRYPTO AVAX-USD: 8.7492 (-3.30%)
₿ CRYPTO SOL-USD: 83.6308 (-3.54%)
₿ CRYPTO ETH-USD: 2003.8594 (-4.74%)
🥇 COMMODITY XPTUSD: 2102.87 (-0.22%)
₿ CRYPTO DOGE-USD: 0.09235386 (-3.82%)
₿ CRYPTO BTC-USD: 68189.7377 (-2.75%)
₿ CRYPTO LTC-USD: 53.1801 (-2.24%)
₿ CRYPTO XRP-USD: 1.3992 (-2.57%)
₿ CRYPTO BNB-USD: 615.6599 (-3.19%)
₿ CRYPTO AVAX-USD: 8.7492 (-3.30%)
₿ CRYPTO ADA-USD: 0.26246448 (-2.69%)
₿ CRYPTO ETH-USD: 2003.9184 (-4.74%)
₿ CRYPTO SOL-USD: 83.6342 (-3.54%)
₿ CRYPTO DOGE-USD: 0.09235943 (-3.81%)
₿ CRYPTO BNB-USD: 615.6291 (-3.20%)
₿ CRYPTO AVAX-USD: 8.7492 (-3.30%)
₿ CRYPTO BTC-USD: 68191.0813 (-2.75%)
₿ CRYPTO XRP-USD: 1.3992 (-2.57%)
₿ CRYPTO ADA-USD: 0.26248224 (-2.68%)
₿ CRYPTO LTC-USD: 53.1813 (-2.24%)
₿ CRYPTO ETH-USD: 2003.92 (-4.74%)
₿ CRYPTO SOL-USD: 83.6358 (-3.54%)
₿ CRYPTO BTC-USD: 68191.7531 (-2.75%)
💱 FOREX EURZAR: 19.0020 (+0.50%)
💱 FOREX USDCHF: 0.7636 (-0.34%)
💱 FOREX EURUSD: 1.1913 (+0.08%)
💱 FOREX GBPUSD: 1.3677 (-0.04%)
💱 FOREX AUDUSD: 0.7076 (-0.23%)
💱 FOREX EURZAR: 19.0015 (+0.50%)
₿ CRYPTO BNB-USD: 615.6871 (-3.19%)
₿ CRYPTO AVAX-USD: 8.7495 (-3.30%)
₿ CRYPTO ADA-USD: 0.26247862 (-2.68%)
₿ CRYPTO ETH-USD: 2004.095 (-4.73%)
₿ CRYPTO DOGE-USD: 0.09235971 (-3.81%)
₿ CRYPTO SOL-USD: 83.6417 (-3.53%)
₿ CRYPTO BTC-USD: 68199.0262 (-2.74%)
₿ CRYPTO LTC-USD: 53.1819 (-2.23%)
₿ CRYPTO BNB-USD: 615.6673 (-3.19%)
₿ CRYPTO XRP-USD: 1.3993 (-2.56%)
₿ CRYPTO AVAX-USD: 8.7497 (-3.30%)
₿ CRYPTO ADA-USD: 0.26247681 (-2.68%)
₿ CRYPTO DOGE-USD: 0.09236111 (-3.81%)
₿ CRYPTO ETH-USD: 2004.4012 (-4.71%)
₿ CRYPTO SOL-USD: 83.6358 (-3.54%)
₿ CRYPTO LTC-USD: 53.1835 (-2.23%)
₿ CRYPTO BNB-USD: 615.6824 (-3.19%)
₿ CRYPTO XRP-USD: 1.3994 (-2.56%)
₿ CRYPTO ADA-USD: 0.2624759 (-2.68%)
💱 FOREX GBPZAR: 21.8160 (+0.21%)
₿ CRYPTO ETH-USD: 2004.6039 (-4.70%)
₿ CRYPTO DOGE-USD: 0.09236555 (-3.81%)
₿ CRYPTO SOL-USD: 83.6454 (-3.53%)
₿ CRYPTO BTC-USD: 68208.1251 (-2.73%)
₿ CRYPTO LTC-USD: 53.1817 (-2.23%)
₿ CRYPTO XRP-USD: 1.3994 (-2.56%)
₿ CRYPTO BNB-USD: 615.6979 (-3.19%)
₿ CRYPTO AVAX-USD: 8.75 (-3.29%)
₿ CRYPTO ADA-USD: 0.26250045 (-2.67%)
₿ CRYPTO SOL-USD: 83.656 (-3.51%)
₿ CRYPTO BTC-USD: 68213.4456 (-2.72%)
₿ CRYPTO ETH-USD: 2004.662 (-4.70%)
₿ CRYPTO DOGE-USD: 0.09236778 (-3.80%)
₿ CRYPTO LTC-USD: 53.1821 (-2.23%)
₿ CRYPTO XRP-USD: 1.3994 (-2.56%)
₿ CRYPTO AVAX-USD: 8.7506 (-3.29%)
₿ CRYPTO ADA-USD: 0.26250843 (-2.67%)
₿ CRYPTO BNB-USD: 615.6718 (-3.19%)
💱 FOREX USDJPY: 154.3933 (-1.11%)
🥇 COMMODITY XAGUSD: 81.84 (+0.01%)
₿ CRYPTO SOL-USD: 83.643 (-3.53%)
₿ CRYPTO AVAX-USD: 8.7511 (-3.28%)
₿ CRYPTO ETH-USD: 2004.7766 (-4.70%)
₿ CRYPTO XRP-USD: 1.3994 (-2.56%)
₿ CRYPTO BTC-USD: 68217.3713 (-2.71%)
₿ CRYPTO DOGE-USD: 0.09237222 (-3.80%)
₿ CRYPTO LTC-USD: 53.1819 (-2.23%)
💱 FOREX EURUSD: 1.1913 (+0.08%)
🥇 COMMODITY XAUUSD: 5035.11 (+0.06%)
💱 FOREX GBPZAR: 21.8149 (+0.21%)
🥇 COMMODITY XAGUSD: 81.86 (+0.03%)
💱 FOREX EURUSD: 1.1913 (+0.08%)
💱 FOREX EURZAR: 19.0005 (+0.50%)
💱 FOREX USDZAR: 15.9497 (+0.32%)
₿ CRYPTO ADA-USD: 0.26251672 (-2.67%)
₿ CRYPTO SOL-USD: 83.6457 (-3.52%)
₿ CRYPTO ADA-USD: 0.26252502 (-2.66%)
₿ CRYPTO BTC-USD: 68220.298 (-2.71%)
₿ CRYPTO LTC-USD: 53.181 (-2.24%)
₿ CRYPTO BNB-USD: 615.6926 (-3.19%)
₿ CRYPTO XRP-USD: 1.3995 (-2.55%)
₿ CRYPTO AVAX-USD: 8.7512 (-3.28%)
₿ CRYPTO ETH-USD: 2004.9008 (-4.69%)
₿ CRYPTO DOGE-USD: 0.09237611 (-3.80%)
₿ CRYPTO BTC-USD: 68221.7864 (-2.71%)
₿ CRYPTO SOL-USD: 83.6516 (-3.52%)
₿ CRYPTO XRP-USD: 1.3996 (-2.54%)
₿ CRYPTO AVAX-USD: 8.7512 (-3.28%)
₿ CRYPTO ETH-USD: 2004.9154 (-4.69%)
