[dotenv@17.2.3] injecting env (10) from .env -- tip: 🔐 prevent building .env in docker: https://dotenvx.com/prebuild
🔌 Frontend WebSocket server running on ws://localhost:5000
🚀 Marome Backend running on port 5000
📊 Correlation Matrix API: http://localhost:5000/api/correlation-matrix?period=30
🧪 EODHD Test: http://localhost:5000/api/test-eodhd-gold
💬 Marome Chat AI: http://localhost:5000/api/chat
📡 Initializing EODHD WebSockets...
📡 Connecting to EODHD WebSocket...
📡 Connecting to EODHD Forex WebSocket...
📡 Connecting to EODHD Crypto WebSocket...
✅ EODHD Forex WebSocket connected
💱 Subscribed to: 8 forex pairs + 3 metals
✅ EODHD WebSocket connected
📊 Subscribed to: 3 indices + 12 major US stocks
✅ Crypto WebSocket connected
₿ CRYPTO SOL-USD: 83.6743 (+0.00%)
₿ CRYPTO ADA-USD: 0.26249788 (+0.00%)
🥇 COMMODITY XPTUSD: 2099.95 (-2.27%)
₿ CRYPTO ETH-USD: 2003.2683 (+0.00%)
₿ CRYPTO BNB-USD: 615.4798 (+0.00%)
₿ CRYPTO XRP-USD: 1.3994 (+0.00%)
💱 FOREX GBPUSD: 1.3676 (+0.49%)
₿ CRYPTO DOGE-USD: 0.09235794 (+0.00%)
₿ CRYPTO SOL-USD: 83.6605 (+0.00%)
₿ CRYPTO BTC-USD: 68157.8201 (-2.80%)
₿ CRYPTO AVAX-USD: 8.753 (+0.00%)
₿ CRYPTO ETH-USD: 2003.2892 (-4.77%)
₿ CRYPTO ADA-USD: 0.26248644 (+0.00%)
₿ CRYPTO XRP-USD: 1.3994 (+0.00%)
₿ CRYPTO LTC-USD: 53.1814 (+0.00%)
₿ CRYPTO BTC-USD: 68157.9601 (-2.80%)
₿ CRYPTO DOGE-USD: 0.09236897 (+0.00%)
₿ CRYPTO BNB-USD: 615.4829 (+0.00%)
💱 FOREX GBPZAR: 21.8192 (+0.12%)
₿ CRYPTO SOL-USD: 83.6636 (+0.00%)
🥇 COMMODITY XPTUSD: 2099.65 (-2.28%)
₿ CRYPTO ETH-USD: 2003.2546 (-4.77%)
₿ CRYPTO ADA-USD: 0.26248072 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7535 (+0.00%)
₿ CRYPTO LTC-USD: 53.182 (+0.00%)
₿ CRYPTO DOGE-USD: 0.09236324 (+0.00%)
₿ CRYPTO XRP-USD: 1.3995 (+0.00%)
₿ CRYPTO BNB-USD: 615.4845 (+0.00%)
💱 FOREX USDJPY: 154.3693 (-1.87%)
₿ CRYPTO BTC-USD: 68160.0991 (-2.80%)
₿ CRYPTO LTC-USD: 53.1819 (+0.00%)
₿ CRYPTO SOL-USD: 83.6645 (+0.00%)
₿ CRYPTO ETH-USD: 2003.2728 (-4.77%)
₿ CRYPTO BNB-USD: 615.4848 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7534 (+0.00%)
₿ CRYPTO XRP-USD: 1.3994 (+0.00%)
₿ CRYPTO ADA-USD: 0.26247252 (+0.00%)
₿ CRYPTO DOGE-USD: 0.09236037 (+0.00%)
💱 FOREX USDCHF: 0.7636 (-1.61%)
💱 FOREX GBPUSD: 1.3676 (+0.49%)
💱 FOREX EURUSD: 1.1913 (+0.08%)
💱 FOREX AUDUSD: 0.7074 (+0.56%)
🥇 COMMODITY XAGUSD: 81.71 (+2.25%)
💱 FOREX EURZAR: 19.0079 (+0.36%)
₿ CRYPTO BTC-USD: 68159.1371 (-2.80%)
₿ CRYPTO AVAX-USD: 8.7533 (+0.00%)
₿ CRYPTO XRP-USD: 1.3994 (+0.00%)
₿ CRYPTO LTC-USD: 53.1809 (+0.00%)
₿ CRYPTO ADA-USD: 0.26247376 (+0.00%)
₿ CRYPTO DOGE-USD: 0.09235893 (+0.00%)
₿ CRYPTO SOL-USD: 83.6685 (+0.00%)
₿ CRYPTO BTC-USD: 68157.9186 (-2.80%)
₿ CRYPTO ETH-USD: 2003.2901 (-4.77%)
₿ CRYPTO BNB-USD: 615.4729 (+0.00%)
🥇 COMMODITY XAUUSD: 5034.17 (+1.38%)
₿ CRYPTO XRP-USD: 1.3993 (+0.00%)
₿ CRYPTO ADA-USD: 0.26247438 (+0.00%)
₿ CRYPTO LTC-USD: 53.1817 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7537 (+0.00%)
₿ CRYPTO DOGE-USD: 0.09235572 (+0.00%)
💱 FOREX GBPZAR: 21.8204 (+0.12%)
₿ CRYPTO SOL-USD: 83.6667 (+0.00%)
₿ CRYPTO BTC-USD: 68156.1219 (-2.80%)
₿ CRYPTO ETH-USD: 2003.2101 (-4.77%)
₿ CRYPTO BNB-USD: 615.4474 (+0.00%)
₿ CRYPTO LTC-USD: 53.1817 (+0.00%)
₿ CRYPTO XRP-USD: 1.3992 (+0.00%)
₿ CRYPTO ADA-USD: 0.26246219 (+0.00%)
₿ CRYPTO DOGE-USD: 0.09235703 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7532 (+0.00%)
💱 FOREX GBPZAR: 21.8208 (+0.13%)
₿ CRYPTO SOL-USD: 83.6646 (+0.00%)
₿ CRYPTO BNB-USD: 615.4574 (+0.00%)
₿ CRYPTO BTC-USD: 68154.9735 (-2.80%)
₿ CRYPTO ETH-USD: 2003.0438 (-4.78%)
₿ CRYPTO XRP-USD: 1.3992 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7526 (+0.00%)
₿ CRYPTO ADA-USD: 0.2624686 (+0.00%)
₿ CRYPTO SOL-USD: 83.6636 (+0.00%)
💱 FOREX EURZAR: 19.0086 (+0.36%)
₿ CRYPTO BTC-USD: 68154.3993 (-2.80%)
₿ CRYPTO SOL-USD: 83.6543 (+0.00%)
₿ CRYPTO BNB-USD: 615.461 (+0.00%)
₿ CRYPTO DOGE-USD: 0.09235268 (+0.00%)
₿ CRYPTO ETH-USD: 2002.9607 (-4.78%)
₿ CRYPTO LTC-USD: 53.1808 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7527 (+0.00%)
₿ CRYPTO ADA-USD: 0.2624718 (+0.00%)
₿ CRYPTO BTC-USD: 68154.1122 (-2.80%)
💱 FOREX AUDUSD: 0.7074 (+0.56%)
💱 FOREX GBPUSD: 1.3676 (-0.05%)
₿ CRYPTO LTC-USD: 53.1804 (+0.00%)
₿ CRYPTO ETH-USD: 2002.9128 (-4.78%)
₿ CRYPTO DOGE-USD: 0.09235509 (+0.00%)
₿ CRYPTO XRP-USD: 1.3991 (+0.00%)
₿ CRYPTO BNB-USD: 615.4485 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7527 (+0.00%)
₿ CRYPTO ADA-USD: 0.2624734 (+0.00%)
₿ CRYPTO SOL-USD: 83.6621 (+0.00%)
₿ CRYPTO BTC-USD: 68155.356 (-2.80%)
₿ CRYPTO LTC-USD: 53.1802 (+0.00%)
💱 FOREX AUDUSD: 0.7074 (+0.56%)
💱 FOREX USDZAR: 15.9553 (-0.37%)
💱 FOREX GBPUSD: 1.3676 (-0.05%)
🥇 COMMODITY XAGUSD: 81.72 (+2.26%)
₿ CRYPTO XRP-USD: 1.3992 (+0.00%)
₿ CRYPTO ETH-USD: 2002.9614 (-4.78%)
₿ CRYPTO DOGE-USD: 0.09235629 (+0.00%)
₿ CRYPTO BNB-USD: 615.4673 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7527 (+0.00%)
₿ CRYPTO SOL-USD: 83.6711 (+0.00%)
₿ CRYPTO BTC-USD: 68154.5905 (-2.80%)
💱 FOREX GBPZAR: 21.8211 (+0.13%)
₿ CRYPTO ADA-USD: 0.2624742 (+0.00%)
₿ CRYPTO SOL-USD: 83.6672 (+0.00%)
₿ CRYPTO LTC-USD: 53.1814 (+0.00%)
₿ CRYPTO XRP-USD: 1.3992 (+0.00%)
₿ CRYPTO ETH-USD: 2002.9507 (-4.78%)
₿ CRYPTO BNB-USD: 615.4516 (+0.00%)
₿ CRYPTO AVAX-USD: 8.753 (+0.00%)
₿ CRYPTO DOGE-USD: 0.09236065 (+0.00%)
₿ CRYPTO BTC-USD: 68153.3953 (-2.81%)
💱 FOREX EURUSD: 1.1913 (+0.08%)
₿ CRYPTO ADA-USD: 0.2624746 (+0.00%)
₿ CRYPTO LTC-USD: 53.1819 (+0.00%)
₿ CRYPTO XRP-USD: 1.3991 (+0.00%)
₿ CRYPTO SOL-USD: 83.664 (+0.00%)
₿ CRYPTO ETH-USD: 2003.0301 (-4.78%)
₿ CRYPTO AVAX-USD: 8.7531 (+0.00%)
₿ CRYPTO BNB-USD: 615.4492 (+0.00%)
₿ CRYPTO BTC-USD: 68157.4774 (-2.80%)
₿ CRYPTO ADA-USD: 0.2624748 (+0.00%)
₿ CRYPTO LTC-USD: 53.1799 (+0.00%)
₿ CRYPTO DOGE-USD: 0.09235907 (+0.00%)
💱 FOREX USDJPY: 154.3794 (-1.86%)
💱 FOREX EURZAR: 19.0083 (+0.36%)
₿ CRYPTO SOL-USD: 83.6678 (+0.00%)
₿ CRYPTO ADA-USD: 0.26247073 (+0.00%)
₿ CRYPTO BNB-USD: 615.4403 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7532 (+0.00%)
₿ CRYPTO BTC-USD: 68155.6513 (-2.80%)
₿ CRYPTO LTC-USD: 53.1799 (+0.00%)
₿ CRYPTO ETH-USD: 2003.0363 (-4.78%)
₿ CRYPTO XRP-USD: 1.3991 (+0.00%)
₿ CRYPTO DOGE-USD: 0.09236954 (+0.00%)
₿ CRYPTO BTC-USD: 68154.7382 (-2.80%)
₿ CRYPTO AVAX-USD: 8.7532 (+0.00%)
₿ CRYPTO ADA-USD: 0.26247287 (+0.00%)
₿ CRYPTO LTC-USD: 53.1812 (+0.00%)
₿ CRYPTO SOL-USD: 83.6677 (+0.00%)
₿ CRYPTO ETH-USD: 2002.9669 (-4.78%)
₿ CRYPTO XRP-USD: 1.3991 (+0.00%)
₿ CRYPTO DOGE-USD: 0.09236352 (+0.00%)
₿ CRYPTO BNB-USD: 615.4311 (+0.00%)
₿ CRYPTO ETH-USD: 2002.9835 (-4.78%)
₿ CRYPTO AVAX-USD: 8.753 (+0.00%)
₿ CRYPTO BTC-USD: 68154.7441 (-2.80%)
₿ CRYPTO ADA-USD: 0.26247393 (+0.00%)
₿ CRYPTO LTC-USD: 53.1819 (+0.00%)
💱 FOREX AUDUSD: 0.7074 (+0.56%)
💱 FOREX EURUSD: 1.1913 (+0.08%)
💱 FOREX GBPUSD: 1.3676 (-0.05%)
💱 FOREX GBPZAR: 21.8214 (+0.13%)
🥇 COMMODITY XAUUSD: 5034.12 (+1.38%)
💱 FOREX EURUSD: 1.1913 (+0.07%)
💱 FOREX EURZAR: 19.0087 (+0.37%)
₿ CRYPTO SOL-USD: 83.6676 (+0.00%)
₿ CRYPTO XRP-USD: 1.3991 (+0.00%)
₿ CRYPTO DOGE-USD: 0.09236259 (+0.00%)
₿ CRYPTO BNB-USD: 615.4336 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7525 (+0.00%)
₿ CRYPTO LTC-USD: 53.1818 (+0.00%)
₿ CRYPTO ETH-USD: 2002.973 (-4.78%)
₿ CRYPTO XRP-USD: 1.3991 (-2.58%)
₿ CRYPTO ADA-USD: 0.26248697 (+0.00%)
₿ CRYPTO SOL-USD: 83.6588 (+0.00%)
₿ CRYPTO DOGE-USD: 0.0923513 (+0.00%)
₿ CRYPTO BNB-USD: 615.4278 (+0.00%)
₿ CRYPTO BTC-USD: 68154.2846 (-2.80%)
₿ CRYPTO AVAX-USD: 8.7526 (+0.00%)
₿ CRYPTO XRP-USD: 1.3991 (-2.58%)
₿ CRYPTO ETH-USD: 2002.999 (-4.78%)
₿ CRYPTO ADA-USD: 0.26248098 (+0.00%)
₿ CRYPTO SOL-USD: 83.6556 (+0.00%)
₿ CRYPTO BNB-USD: 615.4319 (+0.00%)
₿ CRYPTO BTC-USD: 68154.2923 (-2.80%)
₿ CRYPTO DOGE-USD: 0.0923519 (+0.00%)
₿ CRYPTO LTC-USD: 53.1809 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7529 (+0.00%)
₿ CRYPTO XRP-USD: 1.3991 (-2.58%)
₿ CRYPTO BNB-USD: 615.4269 (+0.00%)
₿ CRYPTO ADA-USD: 0.26249049 (+0.00%)
₿ CRYPTO BTC-USD: 68154.5336 (-2.80%)
₿ CRYPTO SOL-USD: 83.6541 (+0.00%)
💱 FOREX EURZAR: 19.0084 (+0.36%)
💱 FOREX GBPUSD: 1.3676 (-0.05%)
💱 FOREX AUDUSD: 0.7074 (+0.56%)
💱 FOREX USDZAR: 15.9542 (-0.38%)
💱 FOREX USDCHF: 0.7636 (-1.60%)
💱 FOREX USDJPY: 154.3541 (-1.14%)
₿ CRYPTO ETH-USD: 2003.0332 (-4.78%)
₿ CRYPTO DOGE-USD: 0.0923547 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7535 (+0.00%)
₿ CRYPTO XRP-USD: 1.3991 (-2.58%)
₿ CRYPTO BTC-USD: 68153.6835 (-2.81%)
₿ CRYPTO SOL-USD: 83.6537 (+0.00%)
₿ CRYPTO BNB-USD: 615.4245 (+0.00%)
₿ CRYPTO ADA-USD: 0.26248275 (+0.00%)
₿ CRYPTO ETH-USD: 2003.0141 (-4.78%)
₿ CRYPTO DOGE-USD: 0.0923561 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7534 (+0.00%)
₿ CRYPTO XRP-USD: 1.3991 (-2.58%)
₿ CRYPTO BNB-USD: 615.4492 (+0.00%)
₿ CRYPTO BTC-USD: 68156.3175 (-2.80%)
₿ CRYPTO SOL-USD: 83.6519 (+0.00%)
₿ CRYPTO DOGE-USD: 0.0923568 (+0.00%)
₿ CRYPTO XRP-USD: 1.399 (-2.58%)
₿ CRYPTO ETH-USD: 2003.0021 (-4.78%)
₿ CRYPTO AVAX-USD: 8.7533 (+0.00%)
₿ CRYPTO BNB-USD: 615.4372 (+0.00%)
₿ CRYPTO ADA-USD: 0.26247421 (+0.00%)
₿ CRYPTO SOL-USD: 83.6584 (+0.00%)
₿ CRYPTO BTC-USD: 68159.7669 (-2.80%)
₿ CRYPTO DOGE-USD: 0.0923509 (+0.00%)
₿ CRYPTO LTC-USD: 53.1842 (+0.00%)
₿ CRYPTO XRP-USD: 1.3992 (-2.57%)
₿ CRYPTO ADA-USD: 0.2624871 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7532 (+0.00%)
₿ CRYPTO ETH-USD: 2003.2873 (-4.77%)
₿ CRYPTO BNB-USD: 615.4366 (+0.00%)
₿ CRYPTO SOL-USD: 83.6592 (+0.00%)
₿ CRYPTO BTC-USD: 68166.683 (-2.79%)
₿ CRYPTO DOGE-USD: 0.0923492 (+0.00%)
💱 FOREX USDZAR: 15.9555 (-0.37%)
🥇 COMMODITY XAGUSD: 81.72 (+2.26%)
💱 FOREX GBPUSD: 1.3676 (-0.05%)
💱 FOREX AUDUSD: 0.7074 (+0.56%)
💱 FOREX GBPUSD: 1.3676 (-0.05%)
💱 FOREX GBPZAR: 21.8215 (+0.13%)
💱 FOREX GBPUSD: 1.3676 (-0.05%)
🥇 COMMODITY XAUUSD: 5034.19 (+1.38%)
💱 FOREX EURZAR: 19.0087 (+0.37%)
🥇 COMMODITY XAGUSD: 81.73 (+2.28%)
💱 FOREX USDJPY: 154.3428 (-1.15%)
💱 FOREX EURZAR: 19.0084 (+0.36%)
💱 FOREX GBPUSD: 1.3676 (-0.05%)
💱 FOREX AUDUSD: 0.7074 (+0.56%)
₿ CRYPTO LTC-USD: 53.1821 (+0.00%)
₿ CRYPTO XRP-USD: 1.3993 (-2.56%)
₿ CRYPTO ETH-USD: 2003.5924 (-4.75%)
₿ CRYPTO AVAX-USD: 8.7531 (+0.00%)
₿ CRYPTO BNB-USD: 615.4738 (+0.00%)
₿ CRYPTO ETH-USD: 2003.607 (-4.75%)
₿ CRYPTO ADA-USD: 0.26253105 (+0.00%)
₿ CRYPTO SOL-USD: 83.6671 (+0.00%)
₿ CRYPTO BTC-USD: 68176.0285 (-2.77%)
₿ CRYPTO LTC-USD: 53.181 (+0.00%)
₿ CRYPTO SOL-USD: 83.6702 (+0.00%)
₿ CRYPTO XRP-USD: 1.3994 (-2.56%)
₿ CRYPTO SOL-USD: 83.6376 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7537 (+0.00%)
₿ CRYPTO BNB-USD: 615.5299 (+0.00%)
₿ CRYPTO ETH-USD: 2003.9035 (-4.74%)
₿ CRYPTO ADA-USD: 0.26253219 (+0.00%)
₿ CRYPTO DOGE-USD: 0.09235043 (+0.00%)
₿ CRYPTO BTC-USD: 68181.3015 (-2.77%)
₿ CRYPTO LTC-USD: 53.1855 (+0.00%)
₿ CRYPTO XRP-USD: 1.3994 (-2.56%)
₿ CRYPTO AVAX-USD: 8.754 (+0.00%)
₿ CRYPTO BNB-USD: 615.5579 (+0.00%)
₿ CRYPTO SOL-USD: 83.6721 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7541 (+0.00%)
₿ CRYPTO DOGE-USD: 0.09235647 (+0.00%)
₿ CRYPTO BTC-USD: 68184.8631 (-2.76%)
₿ CRYPTO XRP-USD: 1.3993 (-2.56%)
₿ CRYPTO ETH-USD: 2004.1105 (-4.73%)
₿ CRYPTO ADA-USD: 0.2625411 (+0.00%)
₿ CRYPTO LTC-USD: 53.1853 (+0.00%)
₿ CRYPTO BNB-USD: 615.572 (+0.00%)
₿ CRYPTO SOL-USD: 83.6911 (+0.00%)
₿ CRYPTO BTC-USD: 68186.644 (-2.76%)
₿ CRYPTO DOGE-USD: 0.09235948 (+0.00%)
₿ CRYPTO XRP-USD: 1.3994 (-2.56%)
₿ CRYPTO ETH-USD: 2004.1502 (-4.73%)
₿ CRYPTO BNB-USD: 615.497 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7552 (+0.00%)
₿ CRYPTO ADA-USD: 0.26254555 (+0.00%)
₿ CRYPTO BTC-USD: 68187.2719 (-2.76%)
₿ CRYPTO SOL-USD: 83.6993 (+0.00%)
₿ CRYPTO DOGE-USD: 0.09236099 (+0.00%)
₿ CRYPTO XRP-USD: 1.3993 (-2.56%)
₿ CRYPTO LTC-USD: 53.1826 (+0.00%)
₿ CRYPTO ETH-USD: 2004.2551 (-4.72%)
₿ CRYPTO BNB-USD: 615.5415 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7561 (+0.00%)
₿ CRYPTO ADA-USD: 0.26254777 (+0.00%)
₿ CRYPTO BTC-USD: 68187.8734 (-2.76%)
₿ CRYPTO SOL-USD: 83.7105 (+0.00%)
₿ CRYPTO DOGE-USD: 0.09236175 (+0.00%)
₿ CRYPTO XRP-USD: 1.3993 (-2.56%)
₿ CRYPTO LTC-USD: 53.1851 (+0.00%)
💱 FOREX EURUSD: 1.1913 (+0.07%)
₿ CRYPTO ETH-USD: 2004.3742 (-4.72%)
₿ CRYPTO BNB-USD: 615.5637 (+0.00%)
💱 FOREX USDJPY: 154.3694 (-1.13%)
₿ CRYPTO AVAX-USD: 8.7562 (+0.00%)
₿ CRYPTO ADA-USD: 0.26254889 (+0.00%)
₿ CRYPTO BTC-USD: 68191.1491 (-2.75%)
₿ CRYPTO SOL-USD: 83.714 (+0.00%)
₿ CRYPTO XRP-USD: 1.3996 (-2.54%)
₿ CRYPTO DOGE-USD: 0.09236337 (+0.00%)
₿ CRYPTO BTC-USD: 68195.3685 (-2.75%)
₿ CRYPTO BNB-USD: 615.5988 (+0.00%)
₿ CRYPTO LTC-USD: 53.1911 (+0.00%)
₿ CRYPTO ETH-USD: 2004.5026 (-4.71%)
₿ CRYPTO ADA-USD: 0.26256954 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7567 (+0.00%)
💱 FOREX USDZAR: 15.9561 (+0.32%)
₿ CRYPTO SOL-USD: 83.7127 (+0.00%)
₿ CRYPTO XRP-USD: 1.3995 (-2.55%)
₿ CRYPTO LTC-USD: 53.1956 (+0.00%)
₿ CRYPTO ETH-USD: 2004.3463 (-4.72%)
₿ CRYPTO BNB-USD: 615.6174 (+0.00%)
₿ CRYPTO AVAX-USD: 8.7569 (+0.00%)
₿ CRYPTO ADA-USD: 0.26257227 (+0.00%)
₿ CRYPTO BTC-USD: 68194.1093 (-2.75%)
₿ CRYPTO SOL-USD: 83.7151 (+0.00%)
₿ CRYPTO DOGE-USD: 0.09236794 (+0.00%)
₿ CRYPTO XRP-USD: 1.3995 (-2.55%)
₿ CRYPTO ETH-USD: 2004.2682 (-4.72%)
₿ CRYPTO ADA-USD: 0.2625778 (+0.00%)
₿ CRYPTO BNB-USD: 615.5197 (+0.00%)
₿ CRYPTO SOL-USD: 83.7126 (+0.00%)
₿ CRYPTO BTC-USD: 68193.2672 (-2.75%)
₿ CRYPTO AVAX-USD: 8.7571 (+0.00%)
₿ CRYPTO DOGE-USD: 0.09236522 (+0.00%)
₿ CRYPTO LTC-USD: 53.199 (+0.00%)
₿ CRYPTO ETH-USD: 2004.3803 (-4.72%)
₿ CRYPTO XRP-USD: 1.3996 (-2.54%)
₿ CRYPTO ADA-USD: 0.2625639 (+0.00%)
